SET (our board)	KC TAB	LOCATION	ADDRESS	CONTACT	PHONE	EMAIL	NOTES	ALBUM	GRADES	LINK
Coffee Shop (Black Cat)	COFFEE SHOPS	LONE GULL	146 Main St, Gloucester, MA 01930	MARY ELLEN	(978) 281-8588	LONEGULLCOFFEEHOUSE@GMAIL.COM			A	https://drive.google.com/drive/folders/1rzAjCLQRvZOg66wIXxB04lXlalNpSLNQ?usp=drive_link
Coffee Shop (Black Cat)	COFFEE SHOPS	MARKET SQUARE BAKEHOUSE	5 Market St, Amesbury, MA 01913	THEO	203.556.2611				B	https://drive.google.com/drive/folders/1RnY7y7gafCWIiFHT-xcONHukgrjbFvJf?usp=sharing
Coffee Shop (Black Cat)	COFFEE SHOPS	PLUME CAFE	14 Market Square, Newburyport, MA 01950						B	https://drive.google.com/drive/folders/1EOw8YqOtHv88wz62uZQhQ7JQhyyqCjw-?usp=drive_link
Coffee Shop (Black Cat)	COFFEE SHOPS	Source Bakery, Gloucester	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LCizsDAyNzUzYLRSNagwM7cwNUmzNEuxNEhNNkxJsTKoSE5JTDY3STIzNE9JMTQxTPLiLc4vLUpOVUhKzE4tqgQAiZQUMA&q=source+bakery&rlz=1C5GCEA_enUS867US867&oq=source&gs_lcrp=EgZjaHJvbWUqDAgCEC4YJxivARjHATIGCAAQRRg5MhMIARAuGIsDGKQDGKgDGLEDGIAEMgwIAhAuGCcYrwEYxwEyDQgDEAAYkQIYgAQYigUyEAgEEAAYgwEYsQMYgAQYigUyBggFEEUYPDIGCAYQRRg8MgYIBxBFGDzSAQg2MTg0ajFqNKgCALACAA&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSF0NJSE0wb2dLRUlDQWdJRDdudUN2aHdF						B	https://www.sourcebakery.com/
Coffee Shop (Black Cat)	COFFEE SHOPS	COFFEE FACTORY	56 State St, Newburyport, MA 01950	GALICE (OWNER'S WIFE)	781.815.6670				C	https://drive.google.com/drive/folders/12NNv-hwR2IL8nRjWDsheYxaAvAbSTkwH?usp=drive_link
Coffee Shop (Black Cat)	COFFEE SHOPS	ZUMI'S	40 Market St, Ipswich, MA 01938	UMESH BHUJU	19783561988	ZUMIS@ZUMIS.COM	BACKS UP TO OUTDOOR VENUE			https://drive.google.com/drive/folders/1zg0-dYB6HOiUU9h5jeBTcwzhKukeIlbv?usp=drive_link
Coffee Shop (Black Cat)	COFFEE SHOPS	WATER ST CAFE	10 Water St, Amesbury, MA 01913	SEAN TOOMEY	978.270.0520	SEAN@CRAVEFOODANDWINE.COM	TWO SPACES -- COULD PLAY AS DINER OR COFFEE		C	https://drive.google.com/drive/folders/17HLIkrmHENdaV0S-1k2QRxb9oJYRt5Ee?usp=drive_link
Coffee Shop (Black Cat)	COFFEE SHOPS	So Coffee	https://www.google.com/search?q=snowy+owl+coffee+ma&rlz=1C5GCEA_enUS867US867&oq=snowy+owl+&gs_lcrp=EgZjaHJvbWUqBggBECMYJzIHCAAQABiPAjIGCAEQIxgnMgYIAhAjGCcyBwgDEAAYgAQyDQgEEAAYgwEYsQMYgAQyBwgFEAAYgAQyBwgGEAAYgAQyBggHEEUYPdIBCTEyNzM4ajFqN6gCCLACAfEFJwS8VDfV08w&sourceid=chrome&source=chrome.ob&ie=UTF-8#cobssid=s&sv=CCYS9AEKEgoDdGJzEgtscmY6ITNzSUFFPQoYCgFxEhNzbm93eSBvd2wgY29mZmVlIG1hEAEaEHB2LS9nLzExcThzMTNya20qKgoNL2cvMTFxOHMxM3JrbSIZChNzbm93eSBvd2wgY29mZmVlIG1hEAIYAzKDAQoTc25vd3kgb3dsIGNvZmZlZSBtYUizvMeAo7aAgAhaIxAAEAEQAhADGAAYARgDIhNzbm93eSBvd2wgY29mZmVlIG1hkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjFORGR1ZG5kUlJSQULgAQD6AQQIABBFGAog4I7ZlwM&lpg=cid:CgIgAQ%3D%3D,ik:CAoSHENJQUJJaERKaVFpSDR3YUVMc3NzdURMMno5Sl8%3D						C	https://socoffee.co/
Coffee Shop (Black Cat)	COFFEE SHOPS	HEART AND SOUL	0 Central St, Ipswich, MA 01938	JULIE AND BUDD SICILIANO	978.356.7685		REALLY CUTE DOWNTOWN NEAR OUTDOOR VENUE. SPOKE WITH SARAH		D	https://drive.google.com/drive/folders/1c3tgbGS7TSn3Cwt_lpwA_FStXQcSKDuw?usp=drive_link
Landry Residence	HOUSE - CARRIE LANDRY	HOME	623 MAIN ST W NEWBURY	CAMILLE	508.951.5534		remove			https://drive.google.com/drive/folders/1J1mkDX4jItuWdkgMoyYN8qtrVNsPL4lv?usp=drive_link
Landry Residence	HOUSE - CARRIE LANDRY	Peerspace listing — 5e3041bdbf21f2000d04df2c					pink bedroom			https://www.peerspace.com/pages/listings/5e3041bdbf21f2000d04df2c
Landry Residence	HOUSE - CARRIE LANDRY	VRBO listing — 2447960					pink bedroom			https://www.vrbo.com/2447960
Town Center / Police / Morgan's Office / Courthouse	NA COURTHOUSES	ESSEX COURTHOUSE	145 High St, Newburyport, MA 01950		19784624474					https://drive.google.com/drive/folders/1s1VD1JFdkGGvtTiw7lzWb7gasq1gWpdt?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NA COURTHOUSES	HAVERILL COURTHOUSE								https://drive.google.com/drive/folders/1_XFX3YaTu67rbSwE_fu3bs3RPHChtNoU?usp=drive_link
Diner	DINERS	TripAdvisor listing — Restaurant_Review-g41706-d615958-Revie					A			https://www.tripadvisor.com/Restaurant_Review-g41706-d615958-Reviews-Angie_s_Coffee_Shop-Newburyport_Massachusetts.html
Diner	DINERS	AGAWAM DINER	166 Newburyport Turnpike, Rowley, MA 01969	ETHEL AND ANGELA	ETHEL 978-223.0219		19789487780			https://drive.google.com/drive/folders/1ie0WB5KXYJUQ8rSFrZxQeIOQ8-allCvK?usp=drive_link
Diner	DINERS	MORNING BUZZ	37 Friend St, Amesbury, MA 01913	FLORIAN - OWNER	19787925394		D			https://drive.google.com/drive/folders/1GFA7jf4V_tPlIIn7wy2DMXeG8aHOPD46?usp=drive_link
Diner	DINERS	TripAdvisor listing — Restaurant_Review-g41706-d615958-Revie					A			https://www.tripadvisor.com/Restaurant_Review-g41706-d615958-Reviews-Angie_s_Coffee_Shop-Newburyport_Massachusetts.html
Diner	DINERS	Visit Lynn listing — the-capitol-diner					need to see			https://visitlynnma.org/business-listings/listing/the-capitol-diner/
Diner	DINERS	Dave's Diner, Middleborough					need to see			https://www.daves-diner.com/
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	CIDER HILL	45 Fern Ave, Amesbury, MA 01913	VALERIE		events@ciderhill.com				https://drive.google.com/drive/folders/1hG6PBXGahbFeJQn12HazM_C4qhEGbX5J?usp=drive_link
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	Rockport Harvest Fest								https://rockportusa.com/
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	halloween on the hill			576 Essex St, Beverly · 📞 The Trustees 978-281-8400					
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	Connors Farm, Danvers (FARM)			30 Valley Rd, Danvers · 📞 978-777-1245 · info@connorsfarm.com					
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	Marini Farm, Ipswich								https://www.marinifarm.com/corn-maze
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	Smolak Farms, N. Andover								https://www.smolakfarms.com/2025-fall-festival-weekends
Fall Festival — Pumpkin Patch + Corn Maze	FALL FESTS	C.N. Smith Farm, E. Bridgewater								https://www.hayrides.com/cnsmithfarm
Gardner Residence	HOUSE - DAKOTA GARDNER	MANCHESTER BTS	142 Summer St, Manchester-by-the-Sea, MA 01944	KIM	978.473.9244					https://drive.google.com/drive/folders/1RS63FyIEqBrUaFv2bLU19Yz1N9Ys5AwS?usp=drive_link
Gardner Residence	HOUSE - DAKOTA GARDNER	PARSONS	3 Parsons Rd, West Newbury, MA 01985	KAREN MOUGHAN	508.572.4502					https://drive.google.com/drive/folders/1DVmR11pHEAoEJ7e998-mc2G1XlzSCcFR?usp=drive_link
Gardner Residence	HOUSE - DAKOTA GARDNER	DEB'S HOUSE								
Gardner Residence	HOUSE - DAKOTA GARDNER	Airbnb listing — 1414493043846294889								https://www.airbnb.com/rooms/1414493043846294889?source_impression_id=p3_1786212108_P3O6ZpGVLZ5LMlFF&modal=PHOTO_TOUR_SCROLLABLE
Gardner Residence	HOUSE - DAKOTA GARDNER	OldHouses listing — 37261								https://www.oldhouses.com/37261
Hell House	HELL HOUSE	Turner Hill Golf Club								
Hell House	HELL HOUSE	Castle Hill on the Crane Estate, Ipswich, MA - The Trustees of Reservations								
Hell House	HELL HOUSE	Rent the Eustis Estate | Weddings and Corporate Events								
Hell House	HELL HOUSE	Zillow listing — 57488143_zpid								https://www.zillow.com/homedetails/289-Walpole-St-Norwood-MA-02062/57488143_zpid/
Hell House	HELL HOUSE	Oakes Ames Memorial Hall								
Hell House	HELL HOUSE	MA Film Office listing #10252383								https://ma.reel-scout.com/loc_detail.aspx?id=10252383&cid=65
Hell House	HELL HOUSE	Stevens Estate, N. Andover								https://stevensestateevents.com/
Hospital + ER + Psych Ward	HOSPITALPSYCH	NEWBURYPORT								https://drive.google.com/drive/folders/1om-LCuaywny473PlSLP8pA1FYgtOtPxG?usp=drive_link
Hospital + ER + Psych Ward	HOSPITALPSYCH	Anna Jaques Hospital	Newburyport				black willow hospital			https://ajh.org/
Hospital + ER + Psych Ward	HOSPITALPSYCH	Tobey Hospital	Wareham							https://www.southcoast.org/locations/tobey-hospital/
Hospital + ER + Psych Ward	HOSPITALPSYCH	Medfield State Hospital - 'the last almost fully intact asylum in the world' (Shutter Island, Knives Out)	45 Hospital Rd, Medfield		Y					https://www.town.medfield.net/1959/Medfield-State-Hospital
Hospital + ER + Psych Ward	HOSPITALPSYCH	Tewksbury Hospital (vacant stock)	365 East St, Tewksbury		Y					https://www.publichealthmuseum.org/
Mary's Bath	MARYS BATHPOOL	HALF MOON BEACH	24 Hough Ave, Gloucester, MA 01930							https://drive.google.com/drive/folders/1EQMC3MZSb2QS0HHtg-xeBTaMDnWrF3pJ?usp=drive_link
Mary's Bath	MARYS BATHPOOL	MILL POND	West Newbury, MA 01985							https://drive.google.com/drive/folders/1ubjUPHVTg8RPe5D9oegS-Y8qZsl8xlPV?usp=drive_link
Mary's Bath	MARYS BATHPOOL	ANNISQUAM LIGHT / NORWOOD HEIGHTS	Norwood Heights, Gloucester, MA 01930	WENDY FRIEND	508.728.5917					https://drive.google.com/drive/folders/1STj4j33OTJ4WwolU8ZAwNaR5pnjomFzl?usp=drive_link
Mary's Bath	MARYS BATHPOOL	pond	623 MAIN ST W NEWBURY	CAMILLE	508.951.5534		BACK'S UP TO WATER (CAN'T SWIM) HAS A PERIOD SPECIFIC EXTERIOR WITH A PINK ROOM INTERIOR			https://drive.google.com/drive/folders/1J1mkDX4jItuWdkgMoyYN8qtrVNsPL4lv?usp=drive_link
Mary's Bath	MARYS BATHPOOL	POND		KIM						https://drive.google.com/drive/folders/1yNHzKR7ZWZ-ckE7TEabBCP5zNcJltkKe?usp=drive_link
Mary's Bath	MARYS BATHPOOL	TripAdvisor listing — Hotel_Review-g41790-d625293-Reviews-Li					has a pond			https://www.tripadvisor.com/Hotel_Review-g41790-d625293-Reviews-Lighthouse_Lane_Cottages-Rockport_Cape_Ann_Massachusetts.html#/media/625293/?type=TRAVELER&albumid=107&category=107
Mary's Bath	MARYS BATHPOOL	DEB'S HOUSE								
Hall Residence	HOUSE - MAYORHALL	SOUTH VILLAGE GREEN	3 S Village Green, Ipswich, MA 01938	ANDREW			NEED INSIDE PHOTOS			https://drive.google.com/drive/folders/1ORNY7qB4K822Tzsrsp0S4mlEOsFygFG0?usp=drive_link
Hall Residence	HOUSE - MAYORHALL	GLOUCESTER / ANNISQUAM		KIM						https://drive.google.com/drive/folders/1yNHzKR7ZWZ-ckE7TEabBCP5zNcJltkKe?usp=drive_link
Hall Residence	HOUSE - MAYORHALL	🔎 707 Highland Ave Fall River MA redfin								https://www.google.com/search?q=707+Highland+Ave+Fall+River+MA+redfin
Hall Residence	HOUSE - MAYORHALL	Harding Allen Estate								https://www.hardingallenestate.com/
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	NEWBURYPORT								https://drive.google.com/drive/folders/1G-EOoY_H6YJjfR_zeoOV_WO7lK4smm16?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	AMESBURY								https://drive.google.com/drive/folders/1auSI0ppbaSmwt4di7_vvu-wKFOchn11f?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	GLOUCESTER								https://drive.google.com/drive/folders/1T88QJB-IiUH26Gv2ZkSTLoljuuKy3tCe?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	HAVERILL								https://drive.google.com/drive/folders/12rdFG8VcndYOjLXGWo0sLrtN-0Ygwyao?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	MANCHESTER BTS								https://drive.google.com/drive/folders/1bIMNiTX0T4Jszovjvf8l1ZEXldQmrPJS?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	NEWBURYPORT								https://drive.google.com/drive/folders/1G-EOoY_H6YJjfR_zeoOV_WO7lK4smm16?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	NEW ENGLAND DOWNTOWN	IPSWICH								
Small Outdoor Club (night gig)	OUTDOOR VENUE	IPSWICH RIVERWALK								https://drive.google.com/drive/folders/1BP8csNWA1U181m9wbL_lcRB7xLN7BkSK?usp=drive_link
Small Outdoor Club (night gig)	OUTDOOR VENUE	GROG RESTAURANT	NEWBURYPORT	13 Middle St, Newburyport 978-465-8008						
Small Outdoor Club (night gig)	OUTDOOR VENUE	Shalin Liu Perf. Center, Rockport								https://rockportmusic.org/shalin-liu-performance-center/
Town Center / Police / Morgan's Office / Courthouse	POLICE STATIONS	HAVERHILL PD								https://drive.google.com/drive/folders/1-LAfXKK6ZQ1e13Qzxdz71lDlHUi9KzVk?usp=drive_link
Town Center / Police / Morgan's Office / Courthouse	POLICE STATIONS	NEWBURYPORT PD								https://drive.google.com/drive/folders/1Gvmmdl2sKfUojWENBDpj3qJUugVlxL5w?usp=drive_link
Salem, 1692 (period thread)	SALEM 1690S	PIONEER VILLAGE - SALEM								https://drive.google.com/drive/folders/1hR57mrc-wDpAPjzChQ035v1vA8nZ08xU?usp=drive_link
Salem, 1692 (period thread)	SALEM 1690S	Peerspace listing — 6424d530464ca6000e0521c3								https://www.peerspace.com/pages/listings/6424d530464ca6000e0521c3
Salem, 1692 (period thread)	SALEM 1690S	Old Sturbridge Village								https://www.osv.org/
Salem, 1692 (period thread)	SALEM 1690S	Plimoth Patuxet								https://plimoth.org/about-us/filming-at-plimoth-patuxet/filming-requests
Salem, 1692 (period thread)	SALEM 1690S	Topsfield Historical Society								https://www.topsfieldhistory.org/
Salem, 1692 (period thread)	SALEM 1690S	Fairbanks House, Dedham								https://www.fairbankshouse.org/
⚠ UNMAPPED — salons	NASALONS	CHLOE'S AMESBURY								https://drive.google.com/drive/folders/1Jr2KsKXVOO0a3upez8payylrsERjbpK1?usp=drive_link
Verlice Residence + Graveyard	VERLICEGRAVEYARDS	HIGH ST - IPSWICH								https://drive.google.com/drive/folders/1P3p96UDWz45JmjjOgDlQ7BGan_Q3_Dje?usp=drive_link
Verlice Residence + Graveyard	VERLICEGRAVEYARDS	REAR HILL - GLOUCESTER								https://drive.google.com/drive/folders/1a4WFgvITB0j6NfL4lq910fPBEun_n50l?usp=drive_link
Willow Reader Cottage	READER COTTAGE	SALEM DOWNTOWN								https://drive.google.com/drive/folders/1VRXYtypy0CKM-DoySJhX0jcHKUnfuYdJ?usp=drive_link
Willow Reader Cottage	READER COTTAGE	Peerspace listing — 5e3041bdbf21f2000d04df2c					inside			https://www.peerspace.com/pages/listings/5e3041bdbf21f2000d04df2c
Willow Reader Cottage	READER COTTAGE	Airbnb listing — 1414493043846294889								https://www.airbnb.com/rooms/1414493043846294889?source_impression_id=p3_1786212108_P3O6ZpGVLZ5LMlFF&modal=PHOTO_TOUR_SCROLLABLE
Willow Reader Cottage	READER COTTAGE	Fairbanks House, Dedham								https://www.fairbankshouse.org/
Willow Reader Cottage	READER COTTAGE	Yelp listing — nocturne-salem-3								https://www.yelp.com/biz_photos/nocturne-salem-3
Willow Reader Cottage	READER COTTAGE	TripAdvisor listing — Hotel_Review-g41790-d625293-Reviews-Li					also has a POND			https://www.tripadvisor.com/Hotel_Review-g41790-d625293-Reviews-Lighthouse_Lane_Cottages-Rockport_Cape_Ann_Massachusetts.html#/media/625293/?type=TRAVELER&albumid=107&category=107
